Número;Competición;Jornada;Día;Mes;Año;Equipo;Jugador que lo provoca;Jugador que lanza;Pie;Falla/Anota;Equipo contrario;Portero;Portero lanza;Para/No Para;Jugador que lo comete;Lugar;Árbitro;Acierta/Falla;Altura;Dirección;Otros;VAR;RATIFICA VAR
121;Liga;31;22;Abril;2021;Real Sociedad;Alexander Isak;Alexander Isak;Izquierdo;Falla;Celta;Iván Villar;Derecha;Para;Iván Villar;Anoeta;Gil Manzano;Acierta;Medio;Derecha;;SÍ;
122;Liga;31;22;Abril;2021;Real Sociedad;Robin Le Normand;Adnan Januzaj;Izquierdo;Anota;Celta;Iván Villar;Derecha;No Para;Jeison Murillo;Anoeta;Gil Manzano;Acierta;Bajo;Centro;;;
123;Liga;31;22;Abril;2021;Getafe;Enes Ünal;Enes Ünal;Derecho;Anota;Barcelona;Marc André Ter Stegen;Derecha;No Para;Ronald Araújo;Camp Nou;Figueroa Vázquez;Acierta;Bajo;Izquierda;;;
124;Liga;31;22;Abril;2021;Barcelona;Antoine Griezmann;Antoine Griezmann;Izquierdo;Anota;Getafe;David Soria;Derecha;No Para;Soufiane Chakla;Camp Nou;Figueroa Vázquez;Acierta;Bajo;Derecha;;;
125;Liga;32;24;Abril;2021;Sevilla;Papu Gómez;Iván Rakitic;Derecho;Anota;Granada;Rui Silva;Izquierda;No Para;Maxime Gonalons;Sánchez Pizjuán;De Burgos Bengoetxea;Acierta;Bajo;Izquierda;;;
126;Liga;32;25;Abril;2021;Osasuna;Roberto Torres;Roberto Torres;Derecho;Anota;Celta;Iván Villar;Derecha;No Para;Iago Aspas;Balaídos;Soto Grado;Acierta;Bajo;Izquierda;;SÍ;
127;Liga;32;25;Abril;2021;Granada;Roberto Soldado;Roberto Soldado;Derecho;Anota;Sevilla;Yassine Bounou;Izquierda;No Para;Marcos Acuña;Sánchez Pizjuán;De Burgos Bengoetxea;Acierta;Medio;Izquierda;;SÍ;
128;Liga;34;1;Mayo;2021;Elche;Lucas Boyé;Fidel Chaves;Izquierdo;Falla;Atlético;Jan Oblak;Izquierda;No Para;Marcos Llorente;Martínez Valero;Melero López;Acierta;Medio;Izquierda;;;
129;Liga;34;2;Mayo;2021;Barcelona;Leo Messi;Leo Messi;Izquierdo;Falla;Valencia;Jasper Cillessen;Izquierda;Para;Toni Lato;Mestalla;Sánchez Martínez;Acierta;Bajo;Izquierda;;;
130;Liga;35;9;Mayo;2021;Eibar;Sergi Enrich;José Luis Recio;Derecho;Anota;Getafe;David Soria;Izquierda;No Para;Nemanja Maksimovic;Coliseum Alfonso Pérez;Alberola Rojas;Acierta;Medio;Izquierda;;SÍ;
131;Liga;35;9;Mayo;2021;Celta;Hugo Mallo;Santi Mina;Derecho;Anota;Villarreal;Sergio Asenjo;Izquierda;No Para;Sergio Asenjo;El Madrigal;Medié Jiménez;Acierta;Medio;Derecha;;;
132;Liga;35;9;Mayo;2021;Celta;Brais Méndez;Brais Méndez;Izquierdo;Anota;Villarreal;Sergio Asenjo;Derecha;No Para;Étienne Capoue;El Madrigal;Medié Jiménez;Acierta;Bajo;Derecha;;SÍ;
133;Liga;35;9;Mayo;2021;Villarreal;Alberto Moreno;Gerard Moreno;Izquierdo;Anota;Celta;Iván Villar;Derecha;No Para;Kevin Vázquez;El Madrigal;Medié Jiménez;Acierta;Medio;Derecha;;SÍ;
134;Liga;35;9;Mayo;2021;Sevilla;Diego Carlos;Iván Rakitic;Derecho;Anota;Madrid;Thibaut Courtois;Izquierda;No Para;Éder Militao;Alfredo Di Stéfano;Martínez Munuera;Acierta;Bajo;Derecha;;SÍ;
135;Liga;36;11;Mayo;2021;Cádiz;Jon Ander Garrido;Ivan Saponjic;Derecho;Anota;Osasuna;Juan Pérez;Izquierda;No Para;David García Zubiría;El Sadar;Jaime Latre;Acierta;Medio;Izquierda;;;
136;Liga;36;11;Mayo;2021;Osasuna;Enric Gallego;Roberto Torres;Derecho;Anota;Cádiz;David Gil;Izquierda;No Para;Iza Carcelén;El Sadar;Jaime Latre;Acierta;Bajo;Derecha;;SÍ;
137;Liga;37;16;Mayo;2021;Cádiz;Iván Alejo;José Mari Martín Bejarano;Derecho;Anota;Elche;Paulo Gazzaniga;Izquierda;No Para;Gonzalo Verdú;Carranza;Soto Grado;Acierta;Bajo;Derecha;;SÍ;
138;Liga;37;16;Mayo;2021;Real Sociedad;Alexander Isak;Adnan Januzaj;Izquierdo;Anota;Valladolid;Jordi Masip;Derecha;No Para;Lucas Olaza;Anoeta;Del Cerro Grande;Acierta;Medio;Izquierda;;;
139;Liga;37;16;Mayo;2021;Betis;Borja Iglesias;Borja Iglesias;Derecho;Anota;Huesca;Álvaro Fernández;Derecha;No Para;Gastón Silva;Benito Villamarín;González Fuertes;Acierta;Bajo;Izquierda;;;
140;Liga;38;22;Mayo;2021;Celta;Santi Mina;Iago Aspas;Izquierdo;Anota;Betis;Claudio Bravo;Derecha;No Para;Marc Bartra;Balaídos;Gil Manzano;Acierta;Bajo;Derecha;;;
141;Liga;38;22;Mayo;2021;Betis;Emerson Royal;Borja Iglesias;Derecho;Anota;Celta;Iván Villar;Izquierda;No Para;Manuel Nolito;Balaídos;Gil Manzano;Acierta;Alto;Izquierda;;;
